289991,15673,Canadian Fuels Association,Association canadienne des carburants,2013-08-08,289991,Deputy Minister,null,Environment Canada;
289991,15673,Canadian Fuels Association,Association canadienne des carburants,2013-08-08,289991,Deputy Minister,null,Environment Canada,289991,Associate Assistant Deputy Minister,null,Environment Canada;
289992,15673,Canadian Fuels Association,Association canadienne des carburants,2013-08-22,289992,Deputy Minister,null,Environment Canada;
289994,15673,Canadian Fuels Association,Association canadienne des carburants,2013-08-29,289994,Chief of Staff,null,Environment Canada;
289994,15673,Canadian Fuels Association,Association canadienne des carburants,2013-08-29,289994,Chief of Staff,null,Environment Canada,289994,Sr. Policy Advisor,null,Environment Canada;
294650,15673,Canadian Fuels Association,Association canadienne des carburants,2013-09-23,294650,Assistant Deputy Minister,null,Environment Canada;
304354,15673,Canadian Fuels Association,Association canadienne des carburants,2013-10-10,304354,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
304356,15673,Canadian Fuels Association,Association canadienne des carburants,2013-10-24,304356,MP,null,House of Commons;
310121,15673,Canadian Fuels Association,Association canadienne des carburants,2013-11-04,310121,Associate Assistant Deputy Minister,null,Environment Canada;
310123,15673,Canadian Fuels Association,Association canadienne des carburants,2013-11-27,310123,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
310127,15673,Canadian Fuels Association,Association canadienne des carburants,2013-11-29,310127,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
315692,15673,Canadian Fuels Association,Association canadienne des carburants,2014-01-31,315692,Associate Assistant Deputy Minister,null,Environment Canada;
318269,15673,Canadian Fuels Association,Association canadienne des carburants,2014-02-05,318269,Senior Policy Advisor,null,Environment Canada;
318269,15673,Canadian Fuels Association,Association canadienne des carburants,2014-02-05,318269,Senior Policy Advisor,null,Environment Canada,318269,Strategic Communications Advisor,null,Environment Canada;
318270,15673,Canadian Fuels Association,Association canadienne des carburants,2014-02-05,318270,Member of Parliament,null,House of Commons;
318275,15673,Canadian Fuels Association,Association canadienne des carburants,2014-02-24,318275,Member of Parliament,null,House of Commons;
318277,15673,Canadian Fuels Association,Association canadienne des carburants,2014-02-25,318277,Member of Parliament,null,House of Commons;
322137,15673,Canadian Fuels Association,Association canadienne des carburants,2014-03-25,322137,Member of Parliament,null,House of Commons;
324786,15673,Canadian Fuels Association,Association canadienne des carburants,2014-04-10,324786,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
324788,15673,Canadian Fuels Association,Association canadienne des carburants,2014-04-11,324788,Assistant Deputy Minister,null,Environment Canada;
327880,15673,Canadian Fuels Association,Association canadienne des carburants,2014-05-14,327880,Assistant Depugy Minister,null,Environment Canada;
327881,15673,Canadian Fuels Association,Association canadienne des carburants,2014-05-27,327881,Assistant Deputy Minister,null,Environment Canada;
327882,15673,Canadian Fuels Association,Association canadienne des carburants,2014-05-14,327882,MP,null,House of Commons;
329389,15673,Canadian Fuels Association,Association canadienne des carburants,2014-06-05,329389,Member of Parliament,null,House of Commons;
333594,15673,Canadian Fuels Association,Association canadienne des carburants,2014-08-07,333594,Assistant Deputy Minister,null,Environment Canada;
333595,15673,Canadian Fuels Association,Association canadienne des carburants,2014-08-13,333595,Senior Policy Advisor,null,Environment Canada;
334731,15673,Canadian Fuels Association,Association canadienne des carburants,2014-09-29,334731,Deputy Minister,null,Environment Canada;
337845,15673,Canadian Fuels Association,Association canadienne des carburants,2014-10-17,337845,Director Policy,null,Natural Resources Canada (NRCan);
337845,15673,Canadian Fuels Association,Association canadienne des carburants,2014-10-17,337845,Director Policy,null,Natural Resources Canada (NRCan),337845,Senior Policy Advisor,null,Natural Resources Canada (NRCan);
337845,15673,Canadian Fuels Association,Association canadienne des carburants,2014-10-17,337845,Director Policy,null,Natural Resources Canada (NRCan),337845,Senior Policy Advisor,null,Natural Resources Canada (NRCan),337845,Policy Advisor,null,Natural Resources Canada (NRCan);
343793,15673,Canadian Fuels Association,Association canadienne des carburants,2014-12-18,343793,Chief of Staff,null,Environment Canada;
343793,15673,Canadian Fuels Association,Association canadienne des carburants,2014-12-18,343793,Chief of Staff,null,Environment Canada,343793,Senior Policy Advisor,null,Environment Canada;
350226,15673,Canadian Fuels Association,Association canadienne des carburants,2015-03-09,350226,Special Advisor,null,Prime Minister's Office (PMO);
355301,15673,Canadian Fuels Association,Association canadienne des carburants,2015-05-07,355301,MP,null,House of Commons;
355301,15673,Canadian Fuels Association,Association canadienne des carburants,2015-05-07,355301,MP,null,House of Commons,355301,MP,null,House of Commons;
355305,15673,Canadian Fuels Association,Association canadienne des carburants,2015-05-25,355305,Assistant Deputy Minister,null,Environment Canada;
357943,15673,Canadian Fuels Association,Association canadienne des carburants,2015-06-04,357943,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
366512,15673,Canadian Fuels Association,Association canadienne des carburants,2015-12-04,366512,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
366514,15673,Canadian Fuels Association,Association canadienne des carburants,2015-12-21,366514,Assistant Deputy Minister,null,Environment and Climate Change Canada (ECCC);
370813,15673,Canadian Fuels Association,Association canadienne des carburants,2016-02-17,370813,Assistant Deputy Minister,null,Natural Resources Canada (NRCan);
"370814,15673,Canadian Fuels Association,Association canadienne des carburants,2016-02-23,370814,""Director, Policy"",null,Natural Resources Canada (NRCan)";
374079,15673,Canadian Fuels Association,Association canadienne des carburants,2016-03-21,374079,MP,null,House of Commons;
374080,15673,Canadian Fuels Association,Association canadienne des carburants,2016-03-24,374080,Assistant Deputy Minister,null,Environment and Climate Change Canada (ECCC);
375555,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-12,375555,MP,null,House of Commons;
375556,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-12,375556,MP,null,House of Commons;
375557,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-13,375557,MP,null,House of Commons;
375564,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-14,375564,MP,null,House of Commons;
375566,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-14,375566,MP,null,House of Commons;
375975,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-21,375975,Senior Policy Advisor - Climate Change,null,Environment and Climate Change Canada (ECCC);
375976,15673,Canadian Fuels Association,Association canadienne des carburants,2016-04-22,375976,Chief of Staff,null,Finance Canada (FIN);
"378481,15673,Canadian Fuels Association,Association canadienne des carburants,2016-05-03,378481,""Director, Policy"",null,Natural Resources Canada (NRCan)";
